X,Y,id
1215864.76829521,765434.535236238,1
1216295.04012639,765329.42474716,2
1214838.15756722,766816.255044999,3
1215076.18362473,769876.804385047,4
1215413.61131593,770039.468387843,5
1214723.71354863,772610.996729055,6
1215699.08008912,773422.835441577,7
1215306.83921933,774200.935320854,8
1217227.77685193,765416.518284903,9
1216606.62845557,766645.92594155,10
1216102.33981417,767620.923548165,11
1217125.50717566,769298.590507753,12
1216211.30979461,769803.947141548,13
1216944.77303351,772526.871353955,14
1216743.11422652,773319.677972765,15
1217427.69283526,774994.615859158,16
1218198.79684617,764344.756426379,17
1217798.16104625,766179.419270042,18
1218212.60821532,767687.202245942,19
1218690.34429106,768735.751265397,20
1217264.03871648,770652.452355658,21
1218752.20320631,771582.576311358,22
1217525.81950282,773112.425158295,23
1218989.75207562,774060.150003215,24
1218760.87134899,764312.27234982,25
1219871.92585056,765748.452442626,26
1219226.86525355,767334.840375663,27
1219503.12146974,769267.108593812,28
1218659.89743984,770465.903456858,29
1219394.37475827,772412.440999426,30
1220241.89617715,773908.800194824,31
1219171.74689376,774572.950966703,32
1220064.02893267,764354.164991644,33
1220514.98119515,765518.142572166,34
1220912.26345587,766780.247989774,35
1220266.35036432,768041.270969448,36
1222010.86756931,770494.943808101,37
1220604.87597689,770984.428095221,38
1220503.0784065,772350.411543232,39
1221012.08705902,774636.461590657,40
1223239.80776237,764276.771551075,41
1221880.39142269,767008.618108283,42
1221617.92802219,767366.980126951,43
1221613.94828213,768015.403408508,44
1221930.82299072,770055.142999674,45
1221606.6810684,771487.737928284,46
1222906.2306535,772846.418531322,47
1223251.33508476,775579.116864924,48
1224268.58521227,763996.755069782,49
1223642.86248873,765883.787347233,50
1224695.22808804,767414.936556039,51
1223971.8906241,768103.725011556,52
1224384.30825192,769371.497561208,53
1223129.15752415,772571.435092631,54
1224284.77690198,774028.591314112,55
1224067.15443149,774990.555104511,56
1225768.88391858,764019.330306865,57
1225584.17401347,765311.149390811,58
1225714.65992529,768179.964500387,59
1225129.4397671,768560.896354825,60
1224752.88319661,771278.390937599,61
1224596.96917627,772529.572258942,62
1224556.43182481,772209.005588147,63
1224723.17073186,773753.583998919,64
