X,Y,id
1215711.77748579,764453.455288617,1
1215806.00207431,765468.229158648,2
1215426.68164736,766985.428961143,3
1215145.04937972,767884.439858762,4
1215156.15276561,769432.671214672,5
1214886.11485025,770387.48364518,6
1214916.18939593,770874.109574625,7
1215752.33031635,772025.812303544,8
1214991.50610182,773747.766456756,9
1215041.18425987,774474.665796428,10
1216444.70066062,764701.976375584,11
1216548.0502657,766091.982644938,12
1216566.76242085,767281.276638016,13
1216397.26024011,768211.656969154,14
1215948.65759458,769097.775375163,15
1216339.84919953,770001.578095045,16
1216470.69473674,771031.337229103,17
1216942.44989765,772793.963850048,18
1216506.08620976,773442.751778991,19
1216893.62472974,774852.916221775,20
1217475.33633116,764936.287380814,21
1217606.40142245,765783.112261614,22
1217741.81818298,767096.13223481,23
1217826.6787477,768223.256981169,24
1217165.25636382,769372.558618509,25
1217917.2474508,770085.670434489,26
1217519.52796213,771677.239297405,27
1217718.99821197,772278.970313233,28
1217804.06854728,773667.385544794,29
1217259.21048128,774936.283742828,30
1219021.38081791,764747.990196518,31
1218421.88492125,765987.604265035,32
1218381.23099609,766534.363073262,33
1219115.87496862,767814.51249584,34
1218700.92426397,769267.445681098,35
1219027.5844398,769858.614997969,36
1219050.34270821,771346.612702304,37
1218197.91541789,772608.048669181,38
1218919.45870027,773576.016785927,39
1218353.9990113,774490.660676102,40
1220149.55455152,764772.158593656,41
1220194.90608852,765222.50877295,42
1220198.87149948,766917.745840453,43
1219747.12232542,768135.610380102,44
1219661.25219171,768837.730906032,45
1220122.89961675,769918.037938647,46
1219389.21369301,771288.170103827,47
1219754.6463813,772725.498985512,48
1219430.78149589,773569.120600236,49
1219622.30532921,774347.371214733,50
1220996.36381103,764341.470668049,51
1220559.3895506,765893.08000461,52
1221197.65079157,766445.533786426,53
1220494.50100483,768080.491902708,54
1220735.68473701,768588.418512589,55
1221082.12168362,770097.620918755,56
1220824.4726319,771335.324576204,57
1220547.98805764,772796.079674489,58
1220772.32915181,773429.880832732,59
1220945.03312039,774409.857757032,60
1222319.76686869,765081.018349432,61
1221756.21293698,765716.32264146,62
1222001.94715968,766339.722878708,63
1222434.22596974,767955.900428629,64
1221975.03851772,768867.565504491,65
1222458.50814906,770278.723722173,66
1222176.34345895,771287.679726291,67
1221977.75897245,772605.011673721,68
1221634.7925325,773143.312914285,69
1222379.96785919,774840.482099354,70
1222851.00215925,764740.157230326,71
1222977.88477199,765285.352207458,72
1223212.77750664,766538.500932922,73
1222860.19899646,767603.133746439,74
1222611.85097908,769405.674755022,75
1223181.45226435,769704.729408795,76
1222653.01599023,771043.910038139,77
1223227.07887345,772045.94841509,78
1222751.98650254,773728.964934247,79
1223175.98023503,774725.715125628,80
1224639.08271925,764311.352611189,81
1224029.97197752,765781.295010481,82
1223963.21942246,766789.729628157,83
1224014.92272618,767941.969838696,84
1223863.38643838,768546.017747816,85
1224024.04327905,770287.310462217,86
1224064.53635358,771251.832909654,87
1224039.97062801,772639.513518621,88
1224523.77649076,773761.626587077,89
1224179.73871877,774179.113734593,90
1225546.90334236,764370.7729158,91
1225301.2920094,766010.710706776,92
1225599.58904074,767202.919778701,93
1225367.05792299,768383.868698728,94
1225446.68508726,769507.125086655,95
1225031.40930052,770488.540715506,96
1225803.57484944,771567.497761861,97
1225655.70548019,772688.524962149,98
1225753.91919986,773585.78312246,99
1224883.68245302,774505.734729401,100
