X,Y,id
1216279.03719612,764369.349147248,1
1215373.54022455,767746.295376971,2
1215857.2635625,769891.393294299,3
1214561.61222531,772557.883165654,4
1215639.32947353,774434.888650591,5
1218012.54396709,764880.493242769,6
1218039.13897609,766748.142188072,7
1218552.41620657,768626.107960392,8
1217076.57901357,771297.018098428,9
1218305.14476366,775108.872152951,10
1221321.74831069,764633.156454219,11
1219651.04304874,767756.500294618,12
1220299.89737775,769718.641471484,13
1220152.772075,772328.04285295,14
1221181.38202197,774800.336031354,15
1221919.38276368,763840.870682538,16
1222172.21960497,767959.138568402,17
1222457.37231351,770137.79300447,18
1223436.90551092,772705.500349705,19
1222363.44252611,773864.187373718,20
1224376.86278737,765041.480354394,21
1224680.63885089,766471.157817466,22
1224466.39358302,769412.673533148,23
1225874.07693607,771664.335614166,24
1226268.26358732,775126.7804984,25
